one,other
172,193
172,196
172,171
172,173
172,174
173,193
173,37
173,38
173,39
173,172
173,174
174,191
174,193
174,172
174,173
174,175
175,191
175,176
175,177
175,174
176,14
176,175
176,177
176,15
177,175
177,176
177,178
177,190
178,177
178,179
178,180
178,188
178,190
179,7
179,8
179,178
179,180
179,188
180,178
180,179
180,181
180,187
180,188
181,180
181,182
181,183
181,184
181,187
182,256
182,257
182,181
182,183
182,184
183,203
183,204
183,181
183,182
183,184
184,200
184,181
184,182
184,183
184,185
185,194
185,199
185,200
185,184
185,186
186,194
186,199
186,185
186,187
186,188
186,189
187,180
187,181
187,186
187,188
187,189
188,178
188,179
188,180
188,186
188,187
188,189
189,191
189,192
189,186
189,187
189,188
189,190
190,191
190,192
190,177
190,178
190,189
191,192
191,174
191,175
191,189
191,190
192,191
192,193
192,194
192,195
192,189
192,190
193,192
193,194
193,195
193,172
193,173
193,174
194,192
194,193
194,195
194,199
194,185
194,186
195,192
195,193
195,194
195,196
195,197
195,198
196,195
196,197
196,198
196,171
196,172
197,195
197,196
197,198
197,208
197,209
197,210
198,195
198,196
198,197
198,199
198,200
198,201
199,194
199,198
199,200
199,201
199,185
199,186
200,198
200,199
200,201
200,184
200,185
201,198
201,199
201,200
201,202
201,203
202,201
202,203
202,206
202,207
202,208
203,183
203,201
203,202
203,204
204,183
204,203
204,205
204,206
205,204
205,219
205,220
205,206
206,202
206,204
206,205
206,207
206,208
207,202
207,206
207,208
207,215
207,216
207,217
208,197
208,202
208,206
208,207
208,209
208,210
209,162
209,163
209,197
209,208
209,210
210,197
210,208
210,209
210,211
210,212
210,213
211,159
211,160
211,210
211,212
211,213
212,226
212,227
212,228
212,229
212,210
212,211
212,213
213,210
213,211
213,212
213,214
213,215
214,225
214,226
214,213
214,215
215,207
215,213
215,214
215,216
215,217
216,223
216,224
216,225
216,207
216,215
216,217
217,207
217,215
217,216
217,218
217,219
218,223
218,217
218,219
218,222
219,217
219,218
219,220
219,205
220,205
220,219
220,221
220,222
221,236
221,237
221,220
221,222
222,223
222,218
222,220
222,221
223,224
223,225
223,216
223,218
223,252
223,222
224,223
224,225
224,232
224,233
224,234
224,216
225,223
225,224
225,226
225,214
225,216
226,225
226,227
226,228
226,229
226,212
226,214
227,226
227,228
227,229
227,212
227,152
227,153
228,226
228,227
228,229
228,212
228,150
228,246
229,226
229,227
229,228
229,230
229,212
229,245
229,244
230,231
230,232
230,229
231,230
231,232
231,243
231,244
232,224
232,230
232,231
232,233
232,234
233,224
233,232
233,234
233,241
233,242
234,224
234,232
234,233
234,235
234,236
235,234
235,236
235,239
235,240
235,241
236,234
236,235
236,237
236,221
237,236
237,238
237,239
237,221
238,239
238,251
238,237
239,235
239,237
239,238
239,240
239,241
240,235
240,239
240,241
240,250
240,251
241,233
241,235
241,239
241,240
241,242
242,249
242,241
242,233
242,250
243,231
243,244
243,248
243,249
244,229
244,231
244,243
244,245
245,229
245,244
245,246
245,247
246,228
246,245
246,150
246,247
247,248
247,245
247,246
248,247
248,249
248,243
249,242
249,243
249,248
249,250
250,240
250,249
250,242
250,251
251,240
251,250
251,238
252,223
252,257
252,253
253,257
253,252
253,254
254,255
254,256
254,253
255,256
255,254
256,255
256,257
256,182
256,254
257,256
257,182
257,252
257,253
