one,other,angle
0,1,0.658321750629385
0,36,86.41707514212308
0,38,92.39325838317363
1,0,0.658321750629385
1,2,0.2401282243509089
1,34,85.88655878664794
1,36,94.24124621321519
2,32,92.15687004502807
2,1,0.2401282243509089
2,34,94.3535679900375
2,3,1.2779317539848027
3,32,86.56519843153238
3,2,1.2779317539848027
3,4,0.9266686426072108
3,30,91.30018772102257
4,3,0.9266686426072108
4,5,0.06033143349928982
4,27,90.165872266465
4,30,89.62648025465323
5,4,0.06033143349928982
5,6,2.929563829448933
5,24,87.93557269494673
5,27,89.89443288636772
6,7,2.7335524721535296
6,24,94.99399085860279
6,5,2.929563829448933
6,22,85.45857116792894
7,8,0.8004485222780583
7,22,91.80787641964643
7,20,88.82542928011999
7,6,2.7335524721535296
8,7,0.8004485222780583
8,9,0.9362965451851214
8,18,88.41827182790367
8,20,91.97501896208445
9,8,0.9362965451851214
9,10,0.01632993327636398
9,16,88.21316955764553
9,18,90.64543210183129
10,9,0.01632993327636398
10,11,0.13042369801444426
10,14,89.02343210787947
10,16,91.80312651876966
11,10,0.13042369801444426
11,12,95.243593630854
11,14,91.10698418592857
12,11,95.243593630854
12,67,0.013638327451607193
12,13,87.46523442072102
13,65,94.22532858234119
13,67,92.54835717658644
13,12,87.46523442072102
13,14,86.18418776250192
13,15,1.9200207572780617
14,65,0.4095178650397894
14,10,89.02343210787947
14,11,91.10698418592857
14,13,86.18418776250192
14,15,91.89579194419892
15,63,93.44900287221223
15,65,87.69469173673335
15,13,1.9200207572780617
15,14,91.89579194419892
15,16,87.27764942917435
15,17,0.9445964445963656
16,63,0.7266531533656823
16,9,88.21316955764553
16,10,91.80312651876966
16,15,87.27764942917435
16,17,91.77775472573057
17,63,87.49559299351685
17,15,0.9445964445963656
17,16,91.77775472573057
17,18,89.36364361480227
17,19,1.0490923918708048
17,61,91.69844461273796
18,8,88.41827182790367
18,9,90.64543210183129
18,17,89.36364361480227
18,19,91.68544836443355
18,61,1.06208880321302
19,17,1.0490923918708048
19,18,91.68544836443355
19,20,87.92126084559533
19,21,0.4271608972083318
19,59,92.80995763479663
19,61,87.25246342633325
20,7,88.82542928011999
20,8,91.97501896208445
20,19,87.92126084559533
20,21,91.6515787853587
20,59,0.7312193304838289
21,19,0.4271608972083318
21,20,91.6515787853587
21,22,87.71511551488466
21,23,1.5705991088536575
21,57,92.66549285994341
21,59,87.6172027472998
22,6,85.45857116792894
22,7,91.80787641964643
22,21,87.71511551488466
22,23,93.8554835090536
22,57,0.3806100211852231
23,25,2.1658607783016697
23,21,1.5705991088536575
23,22,93.8554835090536
23,55,94.35953166893681
23,24,85.69195446448114
23,57,85.76390812654377
24,5,87.93557269494673
24,6,94.99399085860279
24,55,0.05149865677843378
24,23,85.69195446448114
24,25,92.14218493190128
25,53,89.95697996678824
25,55,87.80632895153
25,23,2.1658607783016697
25,26,0.05577156005473642
25,24,92.14218493190128
26,51,89.16514338042731
26,53,89.98725833073759
26,25,0.05577156005473642
26,27,89.97204776390551
26,28,0.109895779108011
27,4,90.165872266465
27,5,89.89443288636772
27,51,0.8628095975791028
27,26,89.97204776390551
27,28,89.91805876032291
28,49,90.44720525146023
28,51,90.9447501093082
28,26,0.109895779108011
28,27,89.91805876032291
28,29,0.3870450806603637
29,31,0.5836337790697422
29,47,90.43226629207506
29,49,89.16575041604624
29,28,0.3870450806603637
29,30,89.90254437124834
30,31,89.51382256142892
30,3,91.30018772102257
30,4,89.62648025465323
30,47,0.3348125095019985
30,29,89.90254437124834
31,32,92.6207912860338
31,33,3.501484729129124
31,45,87.63790790361618
31,47,90.1513667928674
31,29,0.5836337790697422
31,30,89.51382256142892
32,31,92.6207912860338
32,33,83.87772406413511
32,2,92.15687004502807
32,3,86.56519843153238
32,45,0.25870153309409705
33,31,3.501484729129124
33,32,83.87772406413511
33,34,89.6118379008028
33,35,0.498957778031438
33,43,90.70681677897413
33,45,95.86357675994681
34,1,85.88655878664794
34,33,89.6118379008028
34,35,90.88711929442043
34,2,94.3535679900375
34,43,0.3186564736107068
35,33,0.498957778031438
35,34,90.88711929442043
35,36,88.98507570575451
35,37,0.6224898438081075
35,41,102.05238970260828
35,43,88.79422604015129
36,0,86.41707514212308
36,1,94.24124621321519
36,35,88.98507570575451
36,37,90.39243489682192
36,41,11.037465448649595
37,35,0.6224898438081075
37,36,90.39243489682192
37,38,90.79723157788881
37,39,80.708249603037
37,41,78.57009970802015
38,39,8.494518878547256
38,0,92.39325838317363
38,37,90.79723157788881
39,40,88.83726718482002
39,115,0.6801932778417341
