street_id,street,distance_m,distance_km,tree,building,road,sky,along_park,inner_river_0,inner_area,inner_avenue_0,inner_avenue_1,inner_avenue_2,total,other,extra,city,inner_river_1,inner_river_2,inner_river_3,cos_simil,euclid_dist,cos_simil100,euclid_dist100,cos_simil250,euclid_dist250,cos_simil500,euclid_dist500,included,not_included,incl_prob,cluster,cluster_type,betweenness_centrality,east,south,west,north,dist_east,dist_west,dist_north,dist_south
10,11,1789,1.789,4,28,47,18,0,0,0,0,1,0,97,3,0,Kiba,0,1,0,0.85574767018294,30.265491900843106,0.8663233575017429,28.945465966192398,0.932042401828642,20.948186809656,0.940727160141222,19.6751006553668,2,48,0.04,3,scape_second_built,0.006354591921008704,0.2947992600355443,0.0,0.0,0.7052007399644556,0.5273958762035887,0.0,1.261604123796411,0.0
11,12,1906,1.906,1,41,44,13,0,0,0,0,1,0,99,1,0,Kiba,0,1,0,0.7949816452183861,37.6917320730511,0.812166788560908,35.9699874895725,0.943078599315024,20.85249458967069,0.976628491046001,13.8464786286695,2,48,0.04,2,scape_road_sky,0.005808828504645912,0.3505421041241332,0.0,0.0,0.6494578958758668,0.6681332504605979,0.0,1.237866749539402,0.0
12,13,1954,1.954,2,46,19,19,0,0,0,0,1,0,86,14,0,Kiba,0,1,0,0.6188214011905779,47.68647607026551,0.6667454283985059,43.85247997548139,0.831839956223976,31.67420246889911,0.8941285038377079,25.58488829125,2,48,0.04,1,scape_most_built,0.011626177141609276,0.4004443038546664,0.0,0.0,0.5995556961453337,0.7824681697320182,0.0,1.171531830267982,0.0
13,14,1779,1.779,1,54,36,9,0,0,0,0,1,0,100,0,-1,Kiba,0,1,0,0.7081178474894759,46.9041575982343,0.7359837273532049,44.531337280616206,0.91525049007362,27.054932780458003,0.9679996390459392,18.0384730195141,2,48,0.04,1,scape_most_built,0.00560755199715189,0.3845476632320293,0.0,0.0,0.6154523367679707,0.6841102928897801,0.0,1.09488970711022,0.0
14,15,1779,1.779,9,33,33,10,0,0,0,0,1,0,85,15,0,Kiba,0,1,0,0.8547636489897891,28.448784391135806,0.868777351943186,26.3939386981178,0.955972355958736,15.8870374577413,0.9670466143129473,14.6477213123738,2,48,0.04,3,scape_second_built,0.009931725137091629,0.3346454635014961,0.0,0.0,0.6653545364985038,0.5953342795691615,0.0,1.1836657204308383,0.0
15,16,1664,1.664,0,48,38,14,0,0,0,0,1,0,100,0,0,Kiba,0,1,0,0.7333752086174481,43.4434498323203,0.7617722818958029,40.907700986489104,0.923481878878891,24.41248426021211,0.972774741751536,15.4133424104039,2,48,0.04,2,scape_road_sky,0.0037401561838938673,0.3281864644914429,0.0,0.0,0.6718135355085569,0.546102276913761,0.0,1.1178977230862386,0.0
16,17,1664,1.664,0,52,37,11,0,0,0,0,1,0,100,0,0,Kiba,0,1,0,0.713750682910957,46.0362176262704,0.741742397908586,43.623846689626106,0.9166922150371992,26.4164064666685,0.9694679459907048,17.261840118027806,2,48,0.04,2,scape_road_sky,0.009500105772187656,0.2883402610254911,0.0,0.0,0.7116597389745091,0.4797981943464172,0.0,1.184201805653583,0.0
17,18,1547,1.547,0,48,37,14,0,0,0,0,1,0,99,1,0,Kiba,0,1,0,0.7298535404165201,43.4050688284214,0.75890056933958,40.804901666344,0.922116934347214,24.2951662278902,0.972393767986494,15.190140059577699,2,48,0.04,2,scape_road_sky,0.0075957734468444435,0.2781215682221188,0.0,0.0,0.7218784317778812,0.4302540660396178,0.0,1.1167459339603822,0.0
18,19,1547,1.547,7,29,38,14,0,0,0,0,1,0,88,12,0,Kiba,0,1,0,0.871239720104905,26.944387170615002,0.883133026755369,25.0966133173383,0.952829072664413,16.408994546919,0.96035767494964,15.7549128244655,3,47,0.06,3,scape_second_built,0.007474611013519561,0.2375850734445049,0.0,0.0,0.7624149265554953,0.36754410861864906,0.0,1.179455891381351,0.0
19,20,1457,1.457,15,36,28,13,0,0,0,0,1,0,92,8,0,Kiba,0,1,0,0.8611294353438531,27.760883751542696,0.892083859869328,23.8629419812394,0.9739072433958332,12.477326375044804,0.981587609484191,11.6501060258781,3,47,0.06,3,scape_second_built,0.009082642515727978,0.2298109981665476,0.0,0.0,0.7701890018334524,0.33483462432865985,0.0,1.1221653756713401,0.0
