angle,one,other
0.9972788083978896,0,1
0.9941760905631802,0,36
0.9943931725400798,0,38
0.9972788083978896,1,0
0.9931253278538354,1,2
0.5097426147795044,1,34
0.9968971414017741,1,36
0.9921752915736265,2,32
0.9931253278538354,2,1
0.5166172865278531,2,34
0.997628833645491,2,3
0.9898041814383051,3,32
0.997628833645491,3,2
0.992900379144529,3,4
0.505984971216272,3,30
0.992900379144529,4,3
0.9923813522310646,4,5
0.9793005403419771,4,27
0.5011146483262037,4,30
0.9923813522310646,5,4
0.9955901931317952,5,6
0.5279528468186717,5,24
0.9869191702025859,5,27
0.9960572128480366,6,7
0.5323626515082972,6,24
0.9955901931317952,6,5
0.9982819017688038,6,22
0.9865727530131149,7,8
0.9977743653887924,7,22
0.9990572827252419,7,20
0.9960572128480366,7,6
0.9865727530131149,8,7
0.9865090509442287,8,9
0.988219163375023,8,18
0.9875145767438676,8,20
0.9865090509442287,9,8
0.9984052316315145,9,10
0.9969737735662615,9,16
0.9982896306957674,9,18
0.9984052316315145,10,9
0.9838620345305513,10,11
0.9994254799760268,10,14
0.9985685126214456,10,16
0.9838620345305513,11,10
0.9848135973769248,11,12
0.9844363943991621,11,14
0.9848135973769248,12,11
0.978706081046511,12,67
0.9907496790074322,12,13
0.5328081801965954,13,65
0.969455765528864,13,67
0.9907496790074322,13,12
0.9903724778508671,13,14
0.9913084610146895,13,15
0.5231806583038715,14,65
0.9994254799760268,14,10
0.9844363943991621,14,11
0.9903724778508671,14,13
0.9990640136826168,14,15
0.526044169385715,15,63
0.5241166422809624,15,65
0.9913084610146895,15,13
0.9990640136826168,15,14
0.997058274192511,15,16
0.9989936487482796,15,17
0.5231024442026457,16,63
0.9969737735662615,16,9
0.9985685126214456,16,10
0.997058274192511,16,15
0.9980646176665487,16,17
0.525037825554652,17,63
0.9989936487482796,17,15
0.9980646176665487,17,16
0.9993806043207447,17,18
0.9997494552689268,17,19
0.5106440273080093,17,61
0.988219163375023,18,8
0.9982896306957674,18,9
0.9993806043207447,18,17
0.9991301206376316,18,19
0.5112634175763385,18,61
0.9997494552689268,19,17
0.9991301206376316,19,18
0.9998346764110896,19,20
0.9985797385554329,19,21
0.9981467249080496,19,59
0.5103935431076476,19,61
0.9990572827252419,20,7
0.9875145767438676,20,8
0.9998346764110896,20,19
0.9987450459599632,20,21
0.9983119038823228,20,59
0.9985797385554329,21,19
0.9987450459599632,21,20
0.9999715611212693,21,22
0.9955913088781061,21,23
0.5048651608813789,21,57
0.9995648141988939,21,59
0.9982819017688038,22,6
0.9977743653887924,22,7
0.9999715611212693,22,21
0.9955629386270944,22,23
0.5048935326175483,22,57
0.5266502578717929,23,25
0.9955913088781061,23,21
0.9955629386270944,23,22
0.9986919029289257,23,55
0.5262079989598578,23,24
0.5004564718757205,23,57
0.5279528468186717,24,5
0.5323626515082972,24,6
0.5275151966118636,24,55
0.5262079989598578,24,23
0.999557727163258,24,25
0.9702859073088292,25,53
0.5279574549818639,25,55
0.5266502578717929,25,23
0.5138531488947996,25,26
0.999557727163258,25,24
0.9825014502431952,26,51
0.5158609435957703,26,53
0.5138531488947996,26,25
0.9985388038749008,26,27
0.9999976406852327,26,28
0.9793005403419771,27,4
0.9869191702025859,27,5
0.9839626462812145,27,51
0.9985388038749008,27,26
0.9985374721458382,27,28
0.9851330093229622,28,49
0.9825001190597288,28,51
0.9999976406852327,28,26
0.9985374721458382,28,27
0.9997976080698874,28,29
0.5222584986885245,29,31
0.5279454068790709,29,47
0.9853353837762514,29,49
0.9997976080698874,29,28
0.5208449023962726,29,30
0.9985863998083541,30,31
0.505984971216272,30,3
0.5011146483262037,30,4
0.9928994949857568,30,47
0.5208449023962726,30,29
0.5175942772231227,31,32
0.5059506843709525,31,33
0.9968273250906283,31,45
0.994313091780806,31,47
0.5222584986885245,31,29
0.9985863998083541,31,30
0.5175942772231227,32,31
0.9883564067429876,32,33
0.9921752915736265,32,2
0.9898041814383051,32,3
0.5207669519337446,32,45
0.5059506843709525,33,31
0.9883564067429876,33,32
0.5127982393416571,33,34
0.5060980002685258,33,35
0.5056049940789259,33,43
0.5091233590706594,33,45
0.5097426147795044,34,1
0.5127982393416571,34,33
0.993299760160525,34,35
0.5166172865278531,34,2
0.9928067545368702,34,43
0.5060980002685258,35,33
0.993299760160525,35,34
0.5061448739171747,35,36
0.5065819997516373,35,37
0.5083168151959618,35,41
0.9995069915067967,35,43
0.9941760905631802,36,0
0.9968971414017741,36,1
0.5061448739171747,36,35
0.9995628695834794,36,37
0.997828043421649,36,41
0.5065819997516373,37,35
0.9995628695834794,37,36
0.9993458149678338,37,38
0.5063203587513682,37,39
0.9982651736517562,37,41
0.5056661765023598,38,39
0.9943931725400798,38,0
0.9993458149678338,38,37
0.9946326298366761,39,40
0.5077924477253445,39,115
0.5063203587513682,39,37
0.5056661765023598,39,38
0.9946326298366761,40,39
0.5026878049826653,40,41
0.5106754903907869,40,42
0.5024550715136501,40,113
0.5024250783738533,40,115
0.5083168151959618,41,35
0.997828043421649,41,36
0.9982651736517562,41,37
0.5026878049826653,41,40
0.9920123142364978,41,42
0.9997666942594917,41,113
0.5106754903907869,42,40
0.9920123142364978,42,41
0.5158114943759851,42,43
0.993363941451241,42,44
0.9918165180714786,42,111
0.9917795692950646,42,113
0.5056049940789259,43,33
0.9928067545368702,43,34
0.9995069915067967,43,35
0.5158114943759851,43,42
0.5091754376964371,43,44
0.5076280205462926,43,111
0.993363941451241,44,42
0.5091754376964371,44,43
0.5173685476854989,44,109
0.5126938026950852,44,45
0.9912744493952574,44,46
0.9984524948803355,44,111
0.9968273250906283,45,31
0.5207669519337446,45,32
0.5091233590706594,45,33
0.5126938026950852,45,44
0.5214193528280755,45,46
0.9953252499472368,45,109
0.9896946052011029,46,105
0.9912744493952574,46,44
0.526094097754102,46,109
0.5214193528280755,46,45
0.5239335863084381,46,47
0.9879674401205463,46,48
0.994313091780806,47,31
0.5136281931089461,47,105
0.5239335863084381,47,46
0.5119010273994515,47,48
0.5279454068790709,47,29
0.9928994949857568,47,30
0.5099307535829879,48,103
0.998272801862591,48,105
0.9879674401205463,48,46
0.5119010273994515,48,47
0.9986201672535789,48,49
0.9993729685400875,48,50
0.5113105705811593,49,103
0.9986201672535789,49,48
0.999247159005208,49,50
0.9851330093229622,49,28
0.9853353837762514,49,29
0.5121282624738536,50,101
0.5105577313189665,50,103
0.9993729685400875,50,48
0.999247159005208,50,49
0.9981199327016506,50,51
0.5007713267801681,50,52
0.5102481994808316,51,101
0.9981199327016506,51,50
0.5011087363212985,51,52
0.9825014502431952,51,26
0.9839626462812145,51,27
0.9825001190597288,51,28
0.9886430609712206,52,101
0.5007713267801681,52,50
0.5011087363212985,52,51
0.9994711517782082,52,53
0.5001563830806169,52,54
0.9994711517782082,53,52
0.5006852214382074,53,54
0.9702859073088292,53,25
0.5158609435957703,53,26
0.9962288322102951,54,95
0.5001563830806169,54,52
0.5006852214382074,54,53
0.9975581359031902,54,55
0.9982684308999783,54,56
0.9986706622473962,55,95
0.9975581359031902,55,54
0.9986919029289257,55,23
0.999289703292916,55,56
0.5279574549818639,55,25
0.5275151966118636,55,24
0.9979603922593994,56,95
0.5000492269356033,56,97
0.9982684308999783,56,54
0.999289703292916,56,55
0.5024739607269761,56,57
0.5033801267689306,56,58
0.9975752640378995,57,97
0.5048651608813789,57,21
0.5048935326175483,57,22
0.5004564718757205,57,23
0.5024739607269761,57,56
0.9941459115792619,57,58
0.9965706400687506,58,97
0.9897622265902181,58,99
0.5033801267689306,58,56
0.9941459115792619,58,57
0.5005563999448002,58,59
0.9818713558282476,58,60
0.5107941694600764,59,99
0.9981467249080496,59,19
0.9983119038823228,59,20
0.9995648141988939,59,21
0.5005563999448002,59,58
0.5175722442265669,59,60
0.9716335849452572,60,99
0.9860903887119378,60,74
0.9818713558282476,60,58
0.5175722442265669,60,59
0.9946740768703636,60,61
0.537024936701819,60,62
0.9807644684357842,61,74
0.5106440273080093,61,17
0.5112634175763385,61,18
0.5103935431076476,61,19
0.9946740768703636,61,60
0.5316990145437976,61,62
0.5039828386141475,62,63
0.5036541513818666,62,64
0.5053579737792359,62,72
0.5509345453651804,62,74
0.537024936701819,62,60
0.5316990145437976,62,61
0.9923630096117371,63,64
0.9906591876061633,63,72
0.526044169385715,63,15
0.5231024442026457,63,16
0.525037825554652,63,17
0.5039828386141475,63,62
0.9923630096117371,64,63
0.9942905364794078,64,65
0.5013635862522469,64,66
0.5017811435924449,64,70
0.9982961759746056,64,72
0.5036541513818666,64,62
0.9942905364794078,65,64
0.5070730496149167,65,66
0.5039283197790392,65,70
0.5328081801965954,65,13
0.5231806583038715,65,14
0.5241166422809624,65,15
0.5013635862522469,66,64
0.5070730496149167,66,65
0.995190917311414,66,67
0.5114649673343699,66,68
0.9968552694456859,66,70
0.978706081046511,67,12
0.995190917311414,67,66
0.5066558852382433,67,68
0.969455765528864,67,13
0.9598111561746464,68,81
0.5114649673343699,68,66
0.5066558852382433,68,67
0.9939777079455647,68,69
0.9939777079455647,69,68
0.5022979464244549,69,70
0.5024451352280002,69,71
0.9964981756246393,69,79
0.9658334476002502,69,81
0.5017811435924449,70,64
0.5039283197790392,70,65
0.9968552694456859,70,66
0.5022979464244549,70,69
0.9952569180560624,70,71
0.5057997675061103,70,79
0.5024451352280002,71,69
0.9952569180560624,71,70
0.5082280476967234,71,72
0.5041035275711191,71,73
0.9265117346985281,71,77
0.5010566858290593,71,79
0.9906591876061633,72,63
0.9982961759746056,72,64
0.5082280476967234,72,71
0.9958754783468181,72,73
0.5652602171910749,72,77
0.5053579737792359,72,62
0.5041035275711191,73,71
0.9958754783468181,73,72
0.9502989075674503,73,74
0.5561607185506431,73,75
0.5693847372230213,73,77
0.9502989075674503,74,73
0.5064596267509999,74,75
0.9860903887119378,74,60
0.9807644684357842,74,61
0.5509345453651804,74,62
0.9625916123571803,75,100
0.5561607185506431,75,73
0.5064596267509999,75,74
0.6215799083569008,75,76
0.5354247773983362,75,88
0.5841715370683144,76,100
0.6215799083569008,76,75
0.6348039271682406,76,77
0.6281118543553845,76,78
0.5859469686735067,76,86
0.9138448690323132,76,88
0.9265117346985281,77,71
0.5652602171910749,77,72
0.5693847372230213,77,73
0.6348039271682406,77,76
0.9933079268359247,77,78
0.9511430405782668,77,86
0.6281118543553845,78,76
0.9933079268359247,78,77
0.5678528780062295,78,79
0.9991301763090247,78,80
0.5442208955786517,78,84
0.957835112670077,78,86
0.9964981756246393,79,69
0.5057997675061103,79,70
0.5010566858290593,79,71
0.5678528780062295,79,78
0.5669830673790754,79,80
0.9763680175209217,79,84
0.9991301763090247,80,78
0.5669830673790754,80,79
0.5293146939517772,80,81
0.5316459045620503,80,82
0.5433510849305062,80,84
0.5293146939517772,81,80
0.9976687875169893,81,82
0.9598111561746464,81,68
0.9658334476002502,81,69
0.7531699598168758,82,459
0.5316459045620503,82,80
0.9976687875169893,82,81
0.5058336431349011,82,83
0.7526636637383356,83,459
0.7810268971365042,83,461
0.5058336431349011,83,82
0.5058715372019407,83,84
0.5046952455755291,83,85
0.7131015472378905,84,461
0.5442208955786517,84,78
0.9763680175209217,84,79
0.5433510849305062,84,80
0.5058715372019407,84,83
0.9988237046015267,84,85
0.7142778397124924,85,461
0.5046952455755291,85,83
0.9988237046015267,85,84
0.5008797183435109,85,86
0.503474116620196,85,87
0.5859469686735067,86,76
0.9511430405782668,86,77
0.957835112670077,86,78
0.5008797183435109,86,85
0.9974056000870924,86,87
0.7075255700744998,87,463
0.503474116620196,87,85
0.9974056000870924,87,86
0.5023862361607567,87,88
0.5101792976074099,87,89
0.5019835931930469,88,100
0.5354247773983362,88,75
0.9138448690323132,88,76
0.79486066048177,88,463
0.5023862361607567,88,87
0.9922069379911932,88,89
0.8026537210614203,89,463
0.5101792976074099,89,87
0.9922069379911932,89,88
0.5127532691775012,89,90
0.9893292256613873,89,91
0.9964804518902262,90,98
0.5182710792846863,90,99
0.993056183509782,90,100
0.5127532691775012,90,89
0.5020824948389049,90,91
0.9893292256613873,91,89
0.5020824948389049,91,90
0.9981064529481224,91,92
0.5021224024827338,91,93
0.9930962435594297,92,96
0.9955849932930041,92,97
0.5033305840429422,92,98
0.9981064529481224,92,91
0.5040159470922593,92,93
0.7080564958494426,93,466
0.9454717573550777,93,469
0.5021224024827338,93,91
0.5040159470922593,93,92
0.9982909371164159,93,94
0.9998822402430418,94,95
0.5045968668208278,94,96
0.7097655524692706,94,466
0.9437627037691385,94,469
0.9982909371164159,94,93
0.5044791227620357,95,96
0.9962288322102951,95,54
0.9986706622473962,95,55
0.9979603922593994,95,56
0.9998822402430418,95,94
0.5044791227620357,96,95
0.997511247331335,96,97
0.503573172396445,96,98
0.9930962435594297,96,92
0.5045968668208278,96,94
0.997511247331335,97,96
0.5010844215486367,97,98
0.5000492269356033,97,56
0.9975752640378995,97,57
0.9965706400687506,97,58
0.9955849932930041,97,92
0.503573172396445,98,96
0.5010844215486367,98,97
0.5147515450299142,98,99
0.9965757299028031,98,100
0.9964804518902262,98,90
0.5033305840429422,98,92
0.5147515450299142,99,98
0.5113272782805671,99,100
0.5182710792846863,99,90
0.9897622265902181,99,58
0.5107941694600764,99,59
0.9716335849452572,99,60
0.9965757299028031,100,98
0.5113272782805671,100,99
0.9625916123571803,100,75
0.5841715370683144,100,76
0.5019835931930469,100,88
0.993056183509782,100,90
0.5112046225253453,101,102
0.9930005923208985,101,145
0.5121282624738536,101,50
0.5102481994808316,101,51
0.9886430609712206,101,52
0.5112046225253453,102,101
0.5096340913740741,102,103
0.9979981315131851,102,104
0.9934823432972646,102,143
