street_id,street,distance_m,distance_km,tree,building,road,sky,along_park,inner_river_0,inner_area,inner_avenue_0,inner_avenue_1,inner_avenue_2,total,other,extra,city,inner_river_1,inner_river_2,inner_river_3,cos_simil,euclid_dist,cos_simil100,euclid_dist100,cos_simil250,euclid_dist250,cos_simil500,euclid_dist500,included,not_included,incl_prob,cluster,cluster_type,betweenness_centrality,east,south,west,north,dist_east,dist_west,dist_north,dist_south
10,11,653,0.653,0,45,40,13,0,0,0,0,1,0,98,2,0,Kiyosumi,0,0,0,0.8422815538757631,33.247180331570966,0.9442014786318814,20.775770817498554,0.9816314269599687,12.595330925033732,0.9885753613891992,10.304876330673556,3,47,0.06,2,scape_second_built,0.006354591921008704,0.0,0.0,0.19455778120997988,0.8054422187900201,0.0,0.12704623113011687,0.5259537688698831,0.0
11,12,694,0.6940000000000001,0,60,30,9,0,0,0,0,1,0,99,1,0,Kiyosumi,0,0,0,0.7495768385774735,44.87621864640558,0.8677228508995466,34.01140264975971,0.9353221314631734,25.04613798128921,0.9348303674406656,24.98443960192468,3,47,0.06,1,scape_most_built,0.005808828504645912,0.0,0.0,0.1314473744830097,0.8685526255169903,0.0,0.09122447789120873,0.6027755221087914,0.0
12,13,694,0.6940000000000001,0,52,38,8,0,0,0,0,1,0,98,2,0,Kiyosumi,0,0,0,0.8140409897920527,37.7143871751882,0.9206460776396258,26.053320521654854,0.9699060379875372,17.288503726786512,0.9731864809496736,16.380398661737757,3,47,0.06,1,scape_most_built,0.011626177141609276,0.0,0.0,0.0715153330024128,0.9284846669975872,0.0,0.04963164110367449,0.6443683588963256,0.0
13,14,625,0.625,0,47,35,17,0,0,0,0,1,0,99,1,0,Kiyosumi,0,0,0,0.8147630405220716,35.558051127698214,0.9252326000885284,23.30980349070988,0.9718090873134482,14.766821857724759,0.9778259798985888,13.176458083227356,3,47,0.06,2,scape_second_built,0.00560755199715189,0.010252913019017484,0.0,0.0,0.9897470869809826,0.006408070636885928,0.0,0.6185919293631141,0.0
14,15,510,0.51,0,50,36,12,0,0,0,0,1,0,98,2,0,Kiyosumi,0,0,0,0.8136882808448399,36.570138091070966,0.9230907026272936,24.51655001197755,0.9724288053266192,15.5045916138127,0.9767571236788232,14.318375362305353,3,47,0.06,1,scape_most_built,0.009931725137091629,0.11174953833159727,0.0,0.0,0.8882504616684028,0.05699226454911461,0.0,0.45300773545088546,0.0
15,16,510,0.51,5,35,42,9,0,0,0,0,1,0,91,9,0,Kiyosumi,0,0,0,0.9047482168561792,24.11171914235897,0.9730698631333844,13.035273965166164,0.9817868485884866,10.726557126020342,0.9880496050256454,8.72143864643283,3,47,0.06,2,scape_second_built,0.0037401561838938673,0.194523613392781,0.0,0.0,0.8054763866072191,0.09920704283031831,0.0,0.4107929571696817,0.0
16,17,540,0.54,1,42,44,10,0,0,0,0,1,0,97,3,0,Kiyosumi,0,0,0,0.8674192655291101,30.71441029875065,0.9573934941878128,18.60656017733136,0.9836777851823992,12.075140900949268,0.9909523837492672,9.526904259091973,3,47,0.06,2,scape_second_built,0.009500105772187656,0.17010577735224194,0.0,0.0,0.829894222647758,0.09185711977021066,0.0,0.4481428802297894,0.0
17,18,540,0.54,0,64,28,7,0,0,0,0,0,1,99,1,0,Kiyosumi,0,0,0,0.7233056298097389,48.54765699804678,0.8430463541087136,38.15275420020453,0.9162084598591906,29.34806684907505,0.9139728257734678,29.51620485777853,3,47,0.06,1,scape_most_built,0.0075957734468444435,0.31059719546577386,0.0,0.0,0.6894028045342261,0.1677224855515179,0.0,0.3722775144484821,0.0
18,19,742,0.742,0,48,43,9,0,0,0,0,0,1,100,0,0,Kiyosumi,0,0,0,0.8412373618914629,35.21185879785389,0.9404944046111128,23.328182133047854,0.9786862035378132,15.4237596295816,0.984063890216475,13.826590439244347,3,47,0.06,2,scape_second_built,0.007474611013519561,0.39355133958873695,0.0,0.0,0.6064486604112631,0.2920150939748428,0.0,0.4499849060251572,0.0
19,20,492,0.4920000000000001,17,30,36,8,0,0,0,0,0,1,91,9,0,Kiyosumi,0,0,0,0.973184712179026,12.262748468430722,0.9902463338837332,7.740695533796607,0.9730180091161632,13.303221205574404,0.9665821606380234,14.844164050198527,3,47,0.06,0,scape_most_green,0.009082642515727978,0.5694595061299372,0.0,0.0,0.4305404938700628,0.28017407701592917,0.0,0.21182592298407096,0.0
20,21,492,0.4920000000000001,16,30,36,8,0,1,1,0,0,1,90,10,0,Kiyosumi,0,0,0,0.9675252911522724,13.46755360115563,0.9883725435256586,8.412818208191691,0.9727513220785056,13.393743356922705,0.9675491764866506,14.686134266121217,28,22,0.56,0,scape_most_green,0.014426244512173862,0.7504361455781107,0.0,0.0,0.2495638544218893,0.36921458362443055,0.0,0.12278541637556957,0.0
21,22,654,0.654,0,55,34,10,0,1,1,0,0,1,99,1,0,Kiyosumi,0,0,0,0.7877288370237123,40.3469329689383,0.90093484067997,28.867749111690546,0.9587623944920032,19.787850509284173,0.9606394453172536,19.27165860523752,25,25,0.5,1,scape_most_built,0.012438464048629486,0.7922255677825177,0.0,0.0,0.2077744322174823,0.5181155213297666,0.0,0.13588447867023343,0.0
22,23,742,0.742,17,38,26,4,0,0,0,0,0,1,85,15,0,Kiyosumi,0,0,0,0.8925431226970367,24.338755103743487,0.9255913313356608,20.42207688972392,0.9355922102583664,19.785744728072387,0.9236627142675796,21.647244041752163,4,46,0.08,0,scape_most_green,0.00750586884760296,0.6778791040842199,0.0,0.0,0.3221208959157801,0.5029862952304912,0.0,0.2390137047695088,0.0
23,24,742,0.742,0,63,30,6,0,1,1,0,0,1,99,1,0,Kiyosumi,0,0,0,0.7372700245690584,47.34844242422342,0.8547421575995221,36.86544756936766,0.9247908400683345,28.063482103576845,0.9230127654910336,28.166737108956713,17,33,0.34,1,scape_most_built,0.013489594109940242,0.8108682959901184,0.0,0.0,0.18913170400988152,0.6016642756246678,0.0,0.1403357243753321,0.0
24,25,820,0.82,0,65,30,3,0,1,1,0,0,1,98,2,0,Kiyosumi,0,0,0,0.7274397107231011,49.19730683685847,0.8436741606402202,39.06300509877522,0.9149996373717612,30.473633867839126,0.9123421999784904,30.677534306249434,17,33,0.34,1,scape_most_built,0.011285152417250768,0.8323535527420796,0.0,0.0,0.16764644725792044,0.6825299132485052,0.0,0.13747008675149475,0.0
25,26,967,0.9670000000000001,24,22,40,11,0,0,0,0,0,1,97,3,0,Kiyosumi,0,0,0,0.9972123421907114,3.9843443626273065,0.9719473173536036,12.65717510476382,0.9224978010235488,21.640448881152572,0.912356877758282,23.15235940529056,2,48,0.04,0,scape_most_green,0.01139522640561288,0.7471704091740852,0.0,0.0,0.25282959082591483,0.7225137856713404,0.0,0.24448621432865966,0.0
26,27,931,0.9309999999999999,20,27,42,5,0,1,1,0,0,1,94,6,0,Kiyosumi,0,0,0,0.9887410367947512,8.147085368400163,0.9843794160234156,9.572494610143403,0.950728254013134,17.391828381295753,0.9429142258189523,18.836809624386955,17,33,0.34,0,scape_most_green,0.011018349571961652,0.8685093880664422,0.0,0.0,0.1314906119335578,0.8085822402898576,0.0,0.1224177597101423,0.0
27,28,931,0.9309999999999999,12,21,43,18,0,1,1,0,1,0,94,6,0,Kiyosumi,0,0,0,0.9444576259069196,17.68827295130873,0.9668274101125404,13.760339340856031,0.9335247638449014,20.078405342833157,0.9394181322827632,19.354668031334835,16,34,0.32,3,scape_road_sky,,0.9124383040557488,0.0,0.0,0.08756169594425134,0.849480061075902,0.0,0.08151993892409799,0.0
28,29,764,0.764,13,41,39,3,0,1,1,0,1,0,96,4,0,Kiyosumi,0,0,0,0.9290825228401272,21.572552004804624,0.9768641056626822,12.858730060760676,0.9874002855095152,9.352844190108401,0.9812271065552,11.261678241958293,18,32,0.36,2,scape_second_built,0.008716793282872027,0.8841605064787856,0.0,0.0,0.11583949352121435,0.6754986269497922,0.0,0.08850137305020776,0.0
29,30,764,0.764,0,53,31,9,0,1,1,0,0,1,93,7,0,Kiyosumi,0,0,0,0.7785773897143405,39.46359081482576,0.8923705936328449,28.252505758474822,0.9509628351988432,19.6144256720518,0.9533647423312624,19.097909800032006,17,33,0.34,1,scape_most_built,0.008739607831776044,0.8480046711544228,0.0,0.0,0.15199532884557718,0.647875568761979,0.0,0.11612443123802096,0.0
30,31,764,0.764,0,48,29,10,0,1,1,0,1,0,87,13,0,Kiyosumi,0,0,0,0.7765567815424078,37.648041117699606,0.8881947256307318,26.911040144012517,0.9419916869380698,19.633534945201394,0.9466028880697313,18.873009198071088,16,34,0.32,1,scape_most_built,0.00803910019354725,0.902673666243699,0.0,0.0,0.097326333756301,0.6896426810101861,0.0,0.07435731898981396,0.0
31,32,683,0.6829999999999999,11,38,40,8,0,1,1,0,1,0,97,3,0,Kiyosumi,0,0,0,0.9361363069623104,20.00937280376374,0.9894862047789444,8.614179103817907,0.9971292673895508,4.375198408199464,0.9949466037220764,5.715476066494082,18,32,0.36,2,scape_second_built,,0.8721689606695102,0.0,0.0,0.12783103933048984,0.5956914001372754,0.0,0.08730859986272455,0.0
32,33,683,0.6829999999999999,2,38,43,14,0,1,1,0,0,1,97,3,0,Kiyosumi,0,0,0,0.8801699992079077,28.113608804278396,0.9656036205200388,15.754494013856904,0.9849196096254962,10.494873086946367,0.9933789397823914,7.184639700016112,25,25,0.5,2,scape_second_built,0.0052403688009144975,0.8350325855052056,0.0,0.0,0.16496741449479435,0.5703272559000554,0.0,0.11267274409994453,0.0
33,34,683,0.6829999999999999,14,28,36,18,0,1,1,0,1,0,96,4,0,Kiyosumi,0,0,0,0.9546763497027072,15.854809995707926,0.9878530037109374,8.580947095817832,0.9734498449595383,13.24357810831767,0.972737815044432,13.62770287738494,26,24,0.52,3,scape_road_sky,,0.8962521397225027,0.0,0.0,0.10374786027749726,0.6121402114304693,0.0,0.07085978856953062,0.0
34,35,597,0.597,1,46,44,8,0,1,1,0,1,0,99,1,0,Kiyosumi,0,0,0,0.8561489457654857,33.2020330702805,0.9490524145606986,21.445707434051663,0.98164584690598,14.105874465783556,0.9869062626259592,12.42245790161755,28,22,0.56,2,scape_second_built,0.007794048538124912,0.8603354368874462,0.0,0.0,0.13966456311255387,0.5136202558218054,0.0,0.08337974417819466,0.0
35,36,597,0.597,0,64,25,7,0,1,1,0,0,1,96,4,0,Kiyosumi,0,0,0,0.7047936276030157,49.283617967839966,0.8263661557550932,39.10686562197885,0.9026155758581512,30.47226653496221,0.9000814171735866,30.697706858154827,30,20,0.6,1,scape_most_built,0.011030417479935243,0.8175284191647582,0.0,0.0,0.1824715808352418,0.4880644662413606,0.0,0.10893553375863935,0.0
36,37,597,0.597,0,63,26,10,0,1,1,0,1,0,99,1,0,Kiyosumi,0,0,0,0.7160703795059004,48.24805695569511,0.8384813794203109,37.75376721302803,0.9131963502009914,28.91756722901227,0.9113300998016806,29.05659502222712,29,21,0.58,1,scape_most_built,0.008012208854466659,0.8868797108277656,0.0,0.0,0.11312028917223435,0.5294671873641761,0.0,0.0675328126358239,0.0
37,38,437,0.4370000000000001,3,44,44,7,0,1,1,0,1,0,98,2,0,Kiyosumi,0,0,0,0.8751186838343458,30.395312138551887,0.9592153762377748,18.85064823223621,0.9856733578572432,12.085488313584097,0.9897409103439552,10.575503290211287,31,19,0.62,2,scape_second_built,0.002955282272858995,0.8311026794041234,0.0,0.0,0.16889732059587664,0.36319187089960203,0.0,0.0738081291003981,0.0
38,39,437,0.4370000000000001,11,38,42,6,0,1,1,0,0,1,97,3,0,Kiyosumi,0,0,0,0.9369554488359912,20.331625611347466,0.9874547854252408,9.851965514038096,0.9928694715663274,7.128045158230819,0.9907659128780176,7.950242084763786,35,15,0.7,2,scape_second_built,0.007121067332251488,0.7640104058174755,0.0,0.0,0.2359895941825245,0.33387254734223687,0.0,0.10312745265776323,0.0
39,40,437,0.4370000000000001,1,44,42,12,0,1,1,0,1,0,99,1,0,Kiyosumi,0,0,0,0.857597397010154,31.896316401741448,0.9529021785944898,19.55004045092115,0.9850161570548258,11.852244278804099,0.9914079117675618,9.540223949985293,43,7,0.86,2,scape_second_built,0.011018209731431873,0.8572787276087427,0.0,0.0,0.14272127239125734,0.37463080396502063,0.0,0.06236919603497947,0.0
40,41,492,0.4920000000000001,0,63,31,4,0,1,1,0,1,0,98,2,0,Kiyosumi,0,0,0,0.7407913875851642,47.27446456597896,0.8562980172363934,36.91191942880196,0.9249772465754637,28.242562934533954,0.9231488058657296,28.348175384300266,29,21,0.58,1,scape_most_built,,0.9130557590323852,0.0,0.0,0.0869442409676149,0.4492234334439336,0.0,0.042776566556066535,0.0
41,42,653,0.653,0,64,30,6,0,1,1,0,1,0,100,0,0,Kiyosumi,0,0,0,0.7336057763956605,48.22214221703553,0.8513901266516348,37.79536738700085,0.9223098098054472,28.99527020816403,0.9201973349600392,29.133518578467392,26,24,0.52,1,scape_most_built,0.008180224581296351,0.922796413662822,0.0,0.0,0.07720358633717789,0.6025860581218228,0.0,0.05041394187817716,0.0
42,43,733,0.733,7,57,28,3,0,1,1,0,1,0,95,5,0,Kiyosumi,0,0,0,0.7880181210383208,39.590087143122076,0.8811900622487265,30.45706244963924,0.9375775273760918,22.698583533878153,0.9305931858609732,23.70720873556704,16,34,0.32,1,scape_most_built,0.021896489053823458,0.9267568452966914,0.0,0.0,0.07324315470330857,0.6793127676024748,0.0,0.05368723239752518,0.0
43,44,817,0.8170000000000001,3,62,30,3,0,1,1,0,1,0,98,2,0,Kiyosumi,0,0,0,0.7563156767959397,45.17604453690032,0.8631636397890853,35.34206027511407,0.9281406174046312,26.942389669647174,0.9237010268079392,27.439399317780897,16,34,0.32,1,scape_most_built,0.019499094625951667,0.9309514638206621,0.0,0.0,0.06904853617933797,0.7605873459414809,0.0,0.05641265405851913,0.0
44,45,911,0.9109999999999999,6,25,47,20,0,1,1,0,1,0,98,2,0,Kiyosumi,0,0,0,0.9067739116246388,24.16350554038052,0.958070781099484,16.429192534842933,0.9421486456033648,19.290991708854968,0.9531384085449244,17.417378659404505,16,34,0.32,3,scape_road_sky,,0.9602388618627684,0.0,0.0,0.03976113813723146,0.8747776031569819,0.0,0.036222396843017854,0.0
45,46,911,0.9109999999999999,5,26,47,20,0,1,0,0,1,0,98,2,0,Kiyosumi,0,0,0,0.9008772044553518,25.027484891614666,0.9573949765894436,16.6794508792302,0.9451987915062656,18.8606917806438,0.956793752405968,16.795691057388446,15,35,0.3,3,scape_road_sky,,0.968596992001554,0.031403007998445934,0.0,0.0,0.8823918597134156,0.0,0.0,0.028608140286584243
