angle,one,other
0.5704205722718683,0,25
0.9999736326516145,0,1
0.5756007570476845,0,22
0.9999736326516145,1,0
0.999962882251699,1,2
0.9761593082726443,1,18
0.5755745677222852,1,22
0.999962882251699,2,1
0.9995892915124073,2,3
0.9962537519097234,2,16
0.9761930493233455,2,18
0.9995892915124073,3,2
0.999586316963063,3,4
0.9966970624709899,3,13
0.9966644448736637,3,16
0.999586316963063,4,3
0.9955655842078712,4,11
0.9999696602026996,4,5
0.9962833795321221,4,13
0.9999696602026996,5,4
0.9999964499630225,5,6
0.9955027790066331,5,9
0.995595702884278,5,11
0.9999610301658584,6,7
0.9955001068869352,6,9
0.9999964499630225,6,5
0.9957180820107046,7,8
0.5961917802140286,7,179
0.9999610301658584,7,6
0.9957180820107046,8,7
0.9998209077510581,8,9
0.9998600068679774,8,10
0.6004736452056291,8,179
0.9955027790066331,9,5
0.9955001068869352,9,6
0.9998209077510581,9,8
0.9999602624860581,9,10
0.9998600068679774,10,8
0.9999602624860581,10,9
0.9999462772629665,10,11
0.9992156908587461,10,12
0.9955655842078712,11,4
0.995595702884278,11,5
0.9999462772629665,11,10
0.9992693428894281,11,12
0.9992156908587461,12,10
0.9992693428894281,12,11
0.9999868746830032,12,13
0.9999933239665111,12,14
0.9966970624709899,13,3
0.9962833795321221,13,4
0.9999868746830032,13,12
0.9999885241104168,13,14
0.9999925648657555,14,15
0.6008349248483594,14,176
0.9999933239665111,14,12
0.9999885241104168,14,13
0.9999497827288135,15,16
0.6008282264095938,15,176
0.9999925648657555,15,14
0.9999497827288135,16,15
0.9962537519097234,16,2
0.9966644448736637,16,3
0.9999524032805277,17,18
0.5346713027480038,17,19
0.9761930493233455,18,2
0.9999524032805277,18,17
0.9761593082726443,18,1
0.5347188026395543,18,19
0.5047079712348442,19,38
0.5346713027480038,19,17
0.5347188026395543,19,18
0.9980869156598671,19,20
0.9878282078583325,20,35
0.5066210538431068,20,38
0.9980869156598671,20,19
0.5005829583688788,20,21
0.5033026574171509,21,32
0.5127547503478327,21,35
0.5005829583688788,21,20
0.5839566762548242,21,22
0.5725530731533045,21,23
0.5756007570476845,22,0
0.5755745677222852,22,1
0.9193459811579346,22,32
0.5839566762548242,22,21
0.9885963965957503,22,23
0.930749584239396,23,32
0.5725530731533045,23,21
0.9885963965957503,23,22
0.5687103524410402,23,24
0.9341759379467125,23,29
0.5687103524410402,24,23
0.5749337710137661,24,25
0.5732103199267836,24,26
0.5028862903882747,24,29
0.5749337710137661,25,24
0.9982765470926768,25,26
0.5704205722718683,25,0
0.5732103199267836,26,24
0.9982765470926768,26,25
0.5746696715591261,26,27
0.9298715145064261,26,28
0.5045411860666502,27,28
0.5746696715591261,27,26
0.511847992548164,27,43
0.513653566244937,27,44
0.9989842800373268,28,31
0.9298715145064261,28,26
0.5045411860666502,28,27
0.9998044408142376,28,29
0.504835887160454,28,30
0.998788738610742,29,31
0.9341759379467125,29,23
0.5028862903882747,29,24
0.9998044408142376,29,28
0.5046403430464349,29,30
0.50585160443237,30,31
0.9872557248226314,30,42
0.5121426936552423,30,43
0.9981048997312459,30,47
0.504835887160454,30,28
0.5046403430464349,30,29
0.9953623844202842,31,32
0.5031503189924457,31,33
0.5018492899500426,31,34
0.9989842800373268,31,28
0.998788738610742,31,29
0.50585160443237,31,30
0.9953623844202842,32,31
0.501487295939888,32,33
0.5064869048453358,32,34
0.5033026574171509,32,21
0.9193459811579346,32,22
0.930749584239396,32,23
0.5031503189924457,33,31
0.501487295939888,33,32
0.9950003888248465,33,34
0.988082127046674,33,41
0.984554450943404,33,42
0.9992631853692253,33,50
0.5018492899500426,34,31
0.5064869048453358,34,32
0.9950003888248465,34,33
0.5225443126927831,34,35
0.5118259631442441,34,36
0.5185382552749396,34,37
0.5225443126927831,35,34
0.9892816442386676,35,36
0.9959939390481068,35,37
0.9878282078583325,35,20
0.5127547503478327,35,21
0.5118259631442441,36,34
0.9892816442386676,36,35
0.993287704988979,36,37
0.5051760028860401,36,40
0.5050915087390091,36,41
0.5061055552910187,36,53
0.5185382552749396,37,34
0.9959939390481068,37,35
0.993287704988979,37,36
0.501544680901288,37,38
0.5016027343710551,37,39
0.5197583134707665,37,173
0.501544680901288,38,37
0.9999418737184279,38,39
0.9817863591702793,38,173
0.5047079712348442,38,19
0.5066210538431068,38,20
0.5016027343710551,39,37
0.9999418737184279,39,38
0.9999335042551667,39,40
0.9818444151579568,39,173
0.5111197155770983,39,56
0.5051760028860401,40,36
0.9999335042551667,40,39
0.9999154933318263,40,41
0.9887184358994899,40,53
0.5111861609202111,40,56
0.988082127046674,41,33
0.5050915087390091,41,36
0.9999154933318263,41,40
0.9964723232614062,41,42
0.9888185582158661,41,50
0.98880293140934,41,53
0.984554450943404,42,33
0.9964723232614062,42,41
0.5248869477980035,42,43
0.9853608327308633,42,47
0.9852908840171405,42,50
0.9872557248226314,42,30
0.5248869477980035,43,42
0.9981944171507261,43,44
0.510247780941769,43,47
0.511847992548164,43,27
0.5121426936552423,43,30
0.9981944171507261,44,43
0.513653566244937,44,27
0.9976541409245849,44,45
0.9977680244489531,44,46
0.5195680007491782,45,65
0.9951501340932645,45,66
0.9976541409245849,45,44
0.9998861078168357,45,46
0.9977680244489531,46,44
0.9998861078168357,46,45
0.5142853239343028,46,47
0.5143418483261504,46,48
0.5142763813311572,46,49
0.9853608327308633,47,42
0.510247780941769,47,43
0.5142853239343028,47,46
0.999943454191957,47,48
0.9999906710749257,47,49
0.9981048997312459,47,30
0.5022566186719879,48,63
0.5011463934899769,48,64
0.9948877270827975,48,65
0.5143418483261504,48,46
0.999943454191957,48,47
0.9999345237528827,48,49
0.5142763813311572,49,46
0.9999906710749257,49,47
0.9999345237528827,49,48
0.9999389915799368,49,50
0.999943002722233,49,51
0.9998040259337513,49,52
0.9992631853692253,50,33
0.9888185582158661,50,41
0.9852908840171405,50,42
0.9999389915799368,50,49
0.9998822234651177,50,51
0.9997430244432327,50,52
0.5022477771361487,51,63
0.999943002722233,51,49
0.9998822234651177,51,50
0.9998605602396126,51,52
0.9980877276949506,51,61
0.9979694843714166,51,62
0.9998040259337513,52,49
0.9997430244432327,52,50
0.9998605602396126,52,51
0.9997273981835367,52,53
0.9998021911299371,52,54
0.505080054700543,52,55
