one,other,angle
53,54,0.010127265322318087
53,55,90.96827261387723
54,52,90.70681677897413
54,53,0.010127265322318087
54,55,89.04182157285679
54,59,101.90166944959087
54,60,11.469985222116199
54,61,77.94304787176642
55,170,0.05105198820066495
55,52,0.2513638988799905
55,53,90.96827261387723
55,54,89.04182157285679
55,56,90.71307361633713
55,57,81.08314348151595
56,39,0.7424138975727173
56,40,92.78002128690113
56,170,89.23590161895969
56,55,90.71307361633713
56,57,8.20378294305459
57,168,78.06564166008414
57,170,98.96788130362324
57,55,81.08314348151595
57,56,8.20378294305459
57,58,0.6801932778417341
57,59,87.97336549605144
58,168,102.61455143519049
58,76,77.7114800581391
58,77,0.6173569909085046
58,57,0.6801932778417341
58,59,91.34644142410288
59,168,13.960992958417688
59,54,101.90166944959087
59,57,87.97336549605144
59,58,91.34644142410288
59,60,89.56831575373099
59,61,0.15528644125089353
60,74,64.39767893541774
60,75,19.497992404009718
60,76,101.3737627642152
60,54,11.469985222116199
60,59,89.56831575373099
60,61,90.58696693945251
61,63,6.7463186162770645
61,51,95.48655858934357
61,54,77.94304787176642
61,59,0.15528644125089353
61,60,90.58696693945251
61,62,93.3842811085186
62,63,79.86940031483836
62,72,62.63427679854989
62,73,0.6400589513628847
62,74,111.63107301691244
62,51,8.870839748080453
62,61,93.3842811085186
63,64,85.000705047796
63,65,0.27007118818710885
63,48,90.95096530449966
63,51,91.259759999019
63,61,6.7463186162770645
63,62,79.86940031483836
64,63,85.000705047796
64,65,94.72922624788299
64,68,90.9952574810475
64,69,5.687428994021458
64,70,88.32250736195961
64,48,4.048329807806353
65,63,0.27007118818710885
65,64,94.72922624788299
65,66,90.11798317860615
65,45,89.69092450919645
65,48,89.31910342199387
66,65,90.11798317860615
66,67,0.6359398114947284
66,68,84.15753309246594
66,45,0.19109516642678973
67,66,0.6359398114947284
67,68,95.20652828290659
67,88,86.68352696598707
67,89,0.23344471990444746
68,64,90.9952574810475
68,66,84.15753309246594
68,67,95.20652828290659
68,69,83.3173136833848
68,70,0.6822359481392283
69,64,5.687428994021458
69,68,83.3173136833848
69,70,97.36492149692026
69,87,85.47418744076859
69,88,94.7926310679908
70,64,88.32250736195961
70,68,0.6822359481392283
70,69,97.36492149692026
70,71,82.4136047323277
70,72,44.17311047702822
71,70,82.4136047323277
71,72,53.41328480648193
71,85,85.66661873230817
71,86,0.5052003836335279
71,87,94.74728633016157
72,70,44.17311047702822
72,71,53.41328480648193
72,73,116.72566564739779
72,74,5.734650213703498
72,62,62.63427679854989
73,72,116.72566564739779
73,74,69.00898455004342
73,83,103.39407908052523
73,84,6.825598593121753
73,85,104.19443081464864
73,62,0.6400589513628847
74,72,5.734650213703498
74,73,69.00898455004342
74,75,96.10432868032578
74,76,14.228558347658872
74,60,64.39767893541774
74,62,111.63107301691244
75,74,96.10432868032578
75,76,98.12422963324329
75,78,89.50728503150793
75,82,0.342233019507834
75,60,19.497992404009718
76,74,14.228558347658872
76,75,98.12422963324329
76,77,102.90587670708034
76,58,77.7114800581391
76,60,101.3737627642152
77,79,1.9026572671391961
77,58,0.6173569909085046
77,76,102.90587670708034
77,78,69.46260862843006
78,75,89.50728503150793
78,77,69.46260862843006
78,79,108.63473429578328
78,82,90.15048312526764
79,166,123.08291169628265
79,77,1.9026572671391961
79,78,108.63473429578328
79,80,20.421753020518935
79,81,71.21940298690335
