,mean,std. dev.,2.5%,97.5%
rho,0.6788138613861385,0.017688655585374417,0.6435643564356437,0.7029702970297029
InRiverFix,0.4500192623907822,0.0410182553694485,0.3721966740477921,0.5321495134298254
InAvenueFix,-0.0822600254903685,0.01850751897817974,-0.1191193636607331,-0.045973991295210945
InAreaFix,0.20157919075679323,0.041181246578580785,0.1213226242922055,0.28316714736037907
DistRes10underFix,-0.13625672630037253,0.1879119243466701,-0.45837061878022944,0.2540676075774686
DistFreq1underFix,0.06188430351640294,0.16025021958499003,-0.20155948050442038,0.3720076405983492
DistFemaleFix,-0.15445547667173742,0.1525435333304075,-0.4269540512065826,0.10683517029058005
Dist40upFix,-0.27045410358217986,0.17960531488596393,-0.5937897895750311,0.05881677266197997
interceptRndMean,2.3674293644997366,0.48149389941616944,1.4263423374253703,3.295287361423231
interceptRndStd,9.12307127628669,0.8526152558316334,7.595351369356438,10.94134075743411
TreeRndMean,0.002101182935765135,0.0054530063068681,-0.008373592282710259,0.012773117686942989
TreeRndStd,0.11369717616719278,0.009657067195142383,0.09631123471646143,0.1343458505758153
BldgRndMean,-0.02547074846465768,0.00488781829485804,-0.03504833304694717,-0.015993345800891044
BldgRndStd,0.0997331587952431,0.00891097265937229,0.08375563572685953,0.11873864852573131
RoadRndMean,-0.018313038976124477,0.0055239163770944765,-0.028756013953079203,-0.007337802870892104
RoadRndStd,0.0881222484629345,0.009077549114119902,0.07200590827734354,0.10744907114857807
SkyRndMean,0.006657258111825765,0.005896533401306744,-0.004769059351925829,0.017945137522825793
SkyRndStd,0.1090672757370517,0.009278460428879884,0.09202272070461655,0.1281773609070916
DistRndMean,-1.5543657509788111,0.09978190511650258,-1.7584741276396894,-1.362801480035485
DistRndStd,1.7963501546664205,0.11465917322859162,1.5896129274028212,2.034475703207923
