,male,resident,Upper_40,Under_10_years,Under_1_day
male,1.0,-0.2006430884762821,-0.3136646480382986,-0.07881104062391017,0.18480045471873588
resident,-0.2006430884762821,1.0,-0.080582296402538,0.6546536707079773,-0.5927489783638192
Upper_40,-0.3136646480382986,-0.080582296402538,1.0,-0.2110139845359989,0.06613625612328211
Under_10_years,-0.07881104062391017,0.6546536707079773,-0.2110139845359989,1.0,-0.38804529449427755
Under_1_day,0.18480045471873588,-0.5927489783638192,0.06613625612328211,-0.38804529449427755,1.0
