,male,resident,Upper_40,Under_10_years,Under_1_day
male,1.0,-0.04052204492365533,-0.014778325123152655,-0.09751799842521075,-0.08227024253690264
resident,-0.04052204492365533,1.0,-0.04052204492365533,0.7177405625652736,-0.4685212856658182
Upper_40,-0.014778325123152655,-0.04052204492365533,1.0,-0.24465041710184443,-0.023204427382203373
Under_10_years,-0.09751799842521075,0.7177405625652736,-0.24465041710184443,1.0,-0.33627673114758955
Under_1_day,-0.08227024253690264,-0.4685212856658182,-0.023204427382203373,-0.33627673114758955,1.0
