,mean,std. dev.,2.5%,97.5%
rho,0.7095762376237622,0.013660654631182797,0.6831683168316831,0.7227722772277227
interceptFix,0.08257530603854481,0.10664409291222433,-0.11601300268670163,0.28040994766368976
InRiverFix,0.24944709899027057,0.038564178339654955,0.17576766920947734,0.3261627131852779
InAvenueFix,0.02236365927997545,0.02971369664972225,-0.03631174557942507,0.0809911496916998
InAreaFix,0.1245492758365645,0.03906652509140485,0.04742814974755941,0.2018310670431171
DistRes10underFix,0.0015327417168928264,0.21380901833142857,-0.3431703830436893,0.4758195539839292
DistFreq1underFix,-0.2127569189796332,0.13425377882376702,-0.4763757380021927,0.04140733035558236
DistFemaleFix,-0.31585976941826344,0.11192698844995154,-0.5502735727788085,-0.0782732848971227
Dist40upFix,-0.386447555708188,0.16870813868602064,-0.7148197323271366,-0.0925462249076024
DistEastFix,0.5969071113978169,0.048585164790441955,0.5057951021306025,0.693693497919596
DistNorthFix,1.5359643387714688,0.06668973196111602,1.4111790745482637,1.6656528428205204
DistSouthFix,0.8850293060165142,0.06189603815173034,0.7659392084023509,1.007677475132923
TreeRndMean,0.030725610709935246,0.002433345651550834,0.025906970600323192,0.03541627029325594
TreeRndStd,0.03715818140875655,0.0029301097417571416,0.03178281887042631,0.04338407787802175
BldgRndMean,0.0025492068810257966,0.0015764815273794453,-0.0006752244895339743,0.005595849215866987
BldgRndStd,0.028783909295522228,0.0017040861880448376,0.025647642073323585,0.032285672963169476
RoadRndMean,0.00892528827963038,0.0023389741728331924,0.0042970390599015255,0.01336697561716765
RoadRndStd,0.03704096391330585,0.0027259664493371866,0.03202173178268753,0.0428138000808848
SkyRndMean,0.018897353776757556,0.0032288853139514537,0.012367802364674971,0.025173572081111716
SkyRndStd,0.06062667623656765,0.004180272841580803,0.05280930459739132,0.06923024574463253
DistRndMean,-2.4841137543174097,0.13330075175680256,-2.7431792900868754,-2.2300370120867483
DistRndStd,1.683047076932773,0.09847665446803516,1.4951204844946373,1.8731114954308374
