,mean,std. dev.,2.5%,97.5%
rho,0.5264455445544552,0.04122327968944352,0.4455445544554455,0.603960396039604
interceptFix,-0.11133624164734807,0.19738466974766158,-0.5008230835172895,0.260285465256415
InRiverFix,2.1660472221872236,0.16405113113438963,1.8460763168687655,2.5013869994110314
InAvenueFix,0.12051631343119232,0.0744537899073187,-0.025384394847949465,0.2647522267788178
InAreaFix,0.18128142715110374,0.0713751401022569,0.04322668209559376,0.32288760426199026
DistRes10underFix,0.027655574969651514,0.24176974207323743,-0.574002625340024,0.449990490578966
DistFreq1underFix,-0.005778508070786412,0.23931217372795213,-0.45623142084743634,0.5188863098304863
DistFemaleFix,0.06490186577801065,0.22982135012196964,-0.40133873689999805,0.5094932163149365
Dist40upFix,0.028183526550151966,0.20245308456005123,-0.3377734779467575,0.4416265060603915
DistEastFix,1.652513867550575,0.14361611564230947,1.3817534732007515,1.9376261489867095
DistNorthFix,0.13822305485561848,0.20086492525959806,-0.25717514309960776,0.5221360977443819
DistSouthFix,1.8867962669992322,0.14592839720267675,1.596320710457606,2.1706020649877082
TreeRndMean,0.03660232157868644,0.006605704510588252,0.0239958581860843,0.050076397331290615
TreeRndStd,0.05718930096878149,0.005871621886795518,0.04619354140240566,0.06936912045381802
BldgRndMean,-0.002890204957603154,0.0036469822924843844,-0.009900695098483734,0.004339532359801707
BldgRndStd,0.05756336992202272,0.004948923744221649,0.04849616578949041,0.06779915402340966
RoadRndMean,0.022258833578410523,0.0054127420347766225,0.011431881296219484,0.03253228794034435
RoadRndStd,0.06383928825422412,0.004956174422793351,0.05464666078782279,0.0741787124293115
SkyRndMean,0.0044441764244043565,0.006410737823169132,-0.00805743758051411,0.016805894036716895
SkyRndStd,0.07287155012683477,0.006049566080955928,0.061599949551313773,0.08520254371683053
DistRndMean,-6.714587627357812,0.4409850707490843,-7.682929940328174,-5.89092577462282
DistRndStd,3.6154941790320665,0.3260133068678195,3.038619594314867,4.332078262041911
